Code NACRES;Total consomme par code NACRES
AA23;317.8
AA41;178.5
AA44;1636.13
AA63;7496.43
AA64;5313.2
AB01;4598.2998
AB02;2957.58
AB03;1243.25
AC11;804
AC21;3495.29
AC31;13780.74175
BB01;2662.67
BB02;2391.19
BB03;58
BB24;1740
BB34;715
BD02;13.05
BD12;17.98
BD24;2590
BD27;95.35
BE15;1860
CA01;53.33
CA21;1310.96
CB12;30706.5
CE01;630.2
CE03;938.69
CE43;800
DB11;1424
DB12;15625
DC01;18181
EC01;8650
FA02;369.65
FA03;40
FB02;3776.83
FC11;3241.4822
FD01;463
GA04;13819.35
GA05;1062.14
GA09;2051.6
GA31;178.25
GA41;8521.72
GA55;58
GB01;945
GB12;4543.74
GC01;1532
HA01;8443.6749
HA02;6677.01
HA03;218.26
HA05;768.584
HA11;2284.1708
HA12;139.97
HB02;2390
IA01;14586.37
IA11;1975.19
IA21;498
IA22;630.94
IA23;2916.03
IA24;14368.57
IA25;2433.91
IA32;11060
IA41;2112.65
IB11;611.76
IB12;887.32
IB31;5337.335
IB34;1939.05
IC11;380
ID01;20618.7964
ID14;4400
IE32;3725.25
II02;1000
JA01;1173.64
JA13;6208.94
JA14;1231.19
JB11;1661.16
KA02;20657.922
KA21;8809.1
KA31;3059.912
KA32;14724.00308
KB31;1344.31
KB41;1237.43
KC11;81641.96563
KC13;1399.28
KC21;10102.5
KC22;55.069
KC25;286.44
KC51;702.5
KD02;400.2
KE11;7429.20292
KE12;4122.12
KE13;312
KE23;17.7
KE31;3288.35
KF12;1700.3
KF14;2210
KG02;3910
KG03;2921
KG05;16607.18437
KG11;5527.93505
KG12;7412.674483
MA01;3803.23
MA02;2519.42
MA13;900
MA14;46457.48
MA23;20700
MA24;7961
MA44;1215.61
MA45;1143.98
MA46;110749.34
MB01;5046
MB03;28245.59
MB05;3657.29
MC04;30036
NA02;860.34
NA05;1975.44
NA07;192
NA21;5278.89
NA22;949.94
NA24;35.28
NA25;2318.01
NA26;2434.1785
NA27;206
NA28;4759.4
NA31;13679.2
NA32;1383.21
NA41;13782.45
NA42;615.02
NA44;818.4
NA46;3339.15
NA47;1324
NA51;27244.6295
NA52;5339.14
NA53;1020.29
NA54;1213.72
NA55;6485.79
NA56;2235.62
NA61;134.3
NA71;8771.7499
NA73;1046.5
NA74;1287.53
NA75;820.77
NA76;62.82
NA77;2431.9
NA78;2804.99
NA79;1231.04
NA81;6687.41
NA82;454
NA83;2084
NA84;113.68
NB01;3134.08
NB02;11112.3905
NB03;219.67
NB04;2292.5206
NB05;311.98
NB11;7443.35
NB12;101.06
NB13;12824.9799
NB14;1808.19
NB15;410.0499
NB16;2585.3805
NB17;13700.55
NB22;1211.15
NB23;33.9
NB24;3472.0299
NB31;388.8
NB32;874.19
NB33;23.412
NB34;664.47
NB35;2021.2398
NB43;1490.3209
NB51;1112.71
NB61;163.1
NB71;837
NB73;1633.7
NB75;2146.18
NB81;1976.16
NB83;96.31
NB84;5863.67
NC21;3410.9
NC51;969.6
ND01;960.08
ND03;382
ND04;1041
ND05;2239.43
ND12;2723
ND51;2300
NE01;6710
NE02;9732
NE04;16852.73761
NE11;175
NE25;30025
OA01;17.48
OA02;990.26
OA05;695.11
OA06;1035
OA13;2500
OA15;32559.71
OA21;3274.57
OA22;2130.71
OA32;10240
OA38;13558.81
OA41;146.76
OB11;1510
OB13;3100
PB13;3975
PB34;4470
QA01;7721.002022
RA01;74.92
RA14;13.3
RA17;493.98
RA21;805.13
RA23;338.205
RA33;348.65
RD01;37.999885
RD22;10640
SB52;100.3
TA22;442.07
TB02;96.6
TB03;18779
TB11;1418.022
TB12;12.83
WA04;110.37
XA01;3117.1
XA02;14696.31
XC01;21956.398
XC02;5214.5528
XC23;17397.2
XC25;5390
XD21;38066.95
XD63;15